t = 1s;t = 2s;t = 3s;t = 4s;t = 10s;t = 599s
2;1;6;8;19;1173
2;7;9;8;19;
1;1;3;6;19;
2;5;10;6;21;
3;1;6;5;16;
2;4;8;4;26;
2;8;4;5;15;
2;8;5;7;18;
3;4;10;9;14;
3;7;7;9;24;
0;2;5;6;22;
0;3;5;12;21;
0;6;7;10;18;
1;4;6;7;17;
2;3;5;5;28;
1;1;11;8;18;
3;3;6;13;27;
3;5;7;13;11;
6;3;4;7;17;
2;4;5;6;18;
2;4;7;4;21;
1;1;4;9;19;
1;2;5;8;18;
3;5;7;8;22;
3;2;6;9;17;
1;2;8;11;17;
2;3;2;13;25;
5;4;6;7;18;
3;8;7;5;13;
1;4;8;7;22;
0;6;4;11;14;
0;2;2;5;22;
2;3;7;6;20;
2;1;4;6;20;
3;5;3;8;19;
2;4;5;15;27;
3;6;8;10;16;
2;1;3;4;12;
6;6;5;13;26;
0;3;7;5;17;
1;3;4;7;20;
3;7;10;8;23;
1;3;5;8;22;
1;8;7;9;17;
0;5;3;11;22;
2;6;5;8;25;
0;5;3;7;19;
1;7;7;15;18;
2;2;8;8;18;
2;6;9;7;21;
4;4;10;13;26;
3;3;3;10;21;
4;6;7;5;25;
3;3;6;9;19;
1;5;7;9;17;
2;4;9;12;21;
1;4;6;8;27;
0;2;6;11;19;
2;6;6;5;23;
1;4;6;12;21;
1;7;4;11;26;
3;3;6;8;22;
2;2;5;10;21;
3;2;6;8;25;
2;4;10;9;10;
2;1;9;8;18;
2;2;6;6;23;
1;3;12;9;20;
1;9;3;13;13;
2;4;3;4;25;
